,can,QED,logP,molWt,herg,drd3,fold,profile
151,Cc1cccc(N2CCN(CCCCNC(=O)c3oc4ccccc4c3)CC2)c1C,0.592775036,4.38184,405.542,0,1,2,1
152,Cc1cccc(c1)N2CCN(CCCCNC(=O)[C@@H]3CCc4ccccc4N3)CC2,0.691814772,3.44032,406.574,0,1,2,1
153,Cc1cccc(c1)N2CCN(CCCCNC(=O)c3ccc4ccccc4n3)CC2,0.609615632,3.87542,402.542,0,1,2,1
154,Cc1cccc(c1)N2CCN(CCN3CCCCCC3)C2=O,0.854110456,3.11302,301.434,0,1,2,1
155,Cc1cccc(c1)[C@H]2CCC[C@H]2NC[C@H](O)c3ccc(O)c4NC(=O)Sc34,0.541809215,3.56292,384.501,0,1,2,1
156,Cc1ccccc1N2CCN(CCCCNC(=O)Oc3ccc(cc3)c4ccccc4)CC2,0.476665222,5.35282,443.591,0,1,2,1
157,Cc1ccccc1N2CCN(CCCCNc3ccccn3)CC2,0.791064921,3.40432,324.472,0,1,2,1
158,Cc1cccn2cc(nc12)c3ccc(OCCCN4CCN(CC4)c5cccc(Cl)c5Cl)cc3,0.285723885,6.20762,495.454,0,1,2,1
159,Cc1cccnc1c2ccc(cc2)C(=O)NC\C=C\CN3CCN(CC3)c4cccc(Cl)c4Cl,0.441854529,5.47202,495.454,0,1,2,1
160,Cc1ccn2cc(nc2c1)c3ccc(OCCCN4CCN(CC4)c5cccc(Cl)c5Cl)cc3,0.285723885,6.20762,495.454,0,1,2,1
161,Cc1ccsc1C(=O)N[C@@H]2CC[C@@H](CCN3CCN(CC3)c4cccc(Cl)c4Cl)CC2,0.562354525,5.86422,480.505,0,1,2,1
162,Cc1cnc(N2CCN(CC[C@@H]3CC[C@H](CC3)NC(=O)CC4CCOCC4)CC2)c5CCOc15,0.659474587,3.32872,470.658,0,1,2,1
163,Cc1cnc(cn1)c2nnc(SCCCN3CCc4ccc5c(C)noc5c4CC3)n2C,0.325940419,3.61314,449.584,0,1,2,1
164,Cc1cnc(cn1)c2nnc(SCCN3CCc4ccc(cc4CC3)c5cc(C)nn5C)n2C,0.396015732,3.48234,474.638,0,1,2,1
165,Cc1nc(C(=O)NCCCN2CCN(CC2)c3cccc(Cl)c3Cl)c(C)n1c4ccccc4,0.490671392,4.73804,486.447,0,1,2,1
166,Cc1nc(C)c(s1)c2nnc(SCCCN3CCC4(CC34)c5ccc(cc5)C(F)(F)F)n2C,0.322578724,5.47244,493.624,0,1,2,1
167,Cc1nc(C)c(s1)c2nnc(SCCCN3CCC4(CCc5cc(Cl)ccc45)C3)n2C,0.35969189,5.28094,474.099,0,1,2,1
168,Cc1nc(C)c(s1)c2nnc(SCCCN3C[C@@H]4C[C@@]4(C3)c5ccc(cc5)C(F)(F)F)n2C,0.328926191,5.32994,493.624,0,1,2,1
169,Cc1nc(cc(n1)C(C)(C)C)N2CCN(CCCCNC(=O)c3cn4ccccc4n3)CC2,0.558771232,3.06242,449.603,0,1,2,1
170,Cc1nc(ccc1c2nnc(SCCCN3CC[C@]4(C[C@@H]4c5ccc(cc5)C(F)(F)F)C3)n2C)C(=O)N,0.336510276,4.66502,530.62,0,1,2,1
171,Cc1nc2cc3CCN(CCCSc4nnc(c5ocnc5C)n4C)CCc3cc2s1,0.317969489,4.27964,454.625,0,1,2,1
172,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5cccc(c5)C(F)(F)F)n2C,0.378448614,4.55302,463.529,0,1,2,1
173,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccccc5)n2C,0.450497024,3.53422,395.532,0,1,2,1
174,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccccc5C(F)(F)F)n2C,0.378448614,4.55302,463.529,0,1,2,1
175,Cc1ncoc1c2nnc(SCCCN3CC4CCCN(C4C3)c5ccc(cc5)C(F)(F)F)n2C,0.334332954,4.88032,506.598,0,1,2,1
176,Cc1ncoc1c2nnc(SCCCN3CC4OCCN(C4C3)c5ccc(cc5)C(F)(F)F)n2C,0.351972891,3.86912,508.57,0,1,2,1
177,Cc1ncoc1c2nnc(SCCCN3CCC4(CCCc5ccc(Br)cc45)C3)n2C,0.349286397,5.00322,502.482,0,1,2,1
178,Cc1ncoc1c2nnc(SCCCN3CCC4(CCc5cc(F)ccc45)C3)n2C,0.43793993,3.98972,427.549,0,1,2,1
