,can,QED,logP,molWt,herg,drd3,fold,profile
167,Clc1ccc(cc1)N2CCN(CCCCCc3oc4ccccc4n3)CC2,0.536294907,5.0162,383.923,0,1,2,1
168,Clc1ccc(cc1)N2CCN(CCCOc3ccc(cc3)c4nc5ccccc5[nH]4)CC2,0.381927426,5.4744,446.982,0,1,2,1
169,Clc1ccc(cc1)N2CCN(CCCc3oc4ccccc4n3)CC2,0.685048214,4.236,355.869,0,1,2,1
170,Clc1ccc(cc1)N2CCN(Cc3c[nH]c4ccccc34)CC2,0.781421619,4.1435,325.843,0,1,2,1
171,Clc1ccc(cc1)N2CCN(Cc3ccc4NC(=O)COc4c3)CC2,0.916840387,2.9931,357.841,0,1,2,1
172,Clc1ccc(cc1Cl)N2CCN(Cc3cn4cc(Br)ccc4n3)CC2,0.589113033,4.7258,440.172,0,1,2,1
173,Clc1ccc2C(=C3CCN(CCCCNC(=O)c4cc5ccccc5s4)CC3)c6ncccc6CCc2c1,0.263421448,7.1562,542.148,0,1,2,1
174,Clc1ccc2N(C3CCN(CCCCOc4ccc5CCC(=O)Nc5c4)CC3)C(=O)Nc2c1,0.504680531,4.3638,468.985,0,1,2,1
175,Clc1ccc2N(C3CCN(CCCCc4nc5ccccc5s4)CC3)C(=O)Nc2c1,0.416273228,5.2525,441,0,1,2,1
176,Clc1ccc2Nc3ccccc3C(=Nc2c1)N4CCN(Cc5ccc(OCCCN6CCCCC6)cc5)CC4,0.342339653,6.5479,544.143,0,1,2,1
